[0.70177047 0.71050464]	[2.79786618 3.26326458]
[0.37001633 0.53932147]	[0.88120578 1.04772786]
[0.65061051 0.77959424]	[1.6946816  7.20909332]
[0.94899422 0.90547946]	[2.94045526 7.51121167]
[0.65341982 0.30928565]	[0.60387739 4.99679627]
[0.78330964 0.35792076]	[0.91929391 5.32373207]
[0.76916863 0.76657335]	[1.74174345 4.5994732 ]
[0.65795016 0.22550889]	[0.06177156 3.16487471]
[0.58208342 0.14210529]	[0.60235082 2.13000154]
[0.77914186 0.38823984]	[1.68528107 4.46642852]
[0.14507063 0.35565729]	[1.00005893 1.19725098]
[0.93521529 0.84851037]	[4.17198562 5.37738687]
[0.40457811 0.53955786]	[-1.5818619   4.25657822]
[0.43724382 0.6324279 ]	[0.09154793 3.69621628]
[0.56175883 0.64951497]	[2.83525122 3.13502786]
[0.86184941 0.17646226]	[2.1756062 3.4555879]
[0.65724772 0.74667738]	[2.45846188 4.35898185]
[0.68309453 0.53729459]	[0.76595228 3.76494991]
[0.9716974  0.50202541]	[0.3137728 5.8215874]
[0.91498761 0.2411805 ]	[3.26662181 4.7049686 ]
[0.5635194 0.9171705]	[2.95660814 5.32373712]
[0.89688585 0.26462722]	[2.11480611 1.99565307]
[0.84027134 0.10756663]	[-0.4175062   1.67279994]
[0.0761712  0.89040977]	[0.86709499 3.77298234]
[0.25310059 0.70882123]	[1.47918174 2.59556524]
[0.47469592 0.7541652 ]	[1.85105071 5.41932178]
[0.11842257 0.6023956 ]	[0.4414258  2.02180651]
[0.8067545  0.51473932]	[1.83977818 4.30517176]
[0.00310286 0.86236575]	[3.17996907 4.31320291]
[0.57570685 0.5377938 ]	[2.69822966 4.3393576 ]
[0.75349656 0.90735681]	[3.00211186 5.6634841 ]
[0.68202074 0.85738244]	[0.92870926 4.2100568 ]
[0.4751346 0.7246356]	[2.15694981 4.07357577]
[0.0445026  0.89766192]	[2.18115858 2.97630108]
[0.87615021 0.76256943]	[2.87163333 4.33128051]
[0.39047268 0.89857676]	[2.91951363 5.3122201 ]
[0.7878769  0.06622485]	[1.24945471 3.28444967]
[0.37482369 0.0790944 ]	[2.20680725 1.50678907]
[0.85401464 0.1846516 ]	[-0.79659489  3.22921294]
[0.60177631 0.34968559]	[0.74798206 2.20604033]
[0.55669419 0.04296426]	[0.94605946 1.60847262]
[0.98063951 0.23154296]	[3.109833   3.10134908]
[0.44899132 0.87301221]	[3.39063786 4.7725502 ]
[0.18081103 0.73121845]	[3.83336496 2.25185385]
[0.87195473 0.659557  ]	[2.25926045 5.3590266 ]
[0.17099096 0.99305519]	[1.39429066 5.41917929]
[0.51492708 0.00081845]	[0.09251882 1.12929701]
[0.16386277 0.86577224]	[1.2760296  2.96049749]
[0.81187983 0.78638441]	[2.65074783 6.15014605]
[0.59482705 0.45933302]	[1.84611691 2.3210612 ]
[0.67744801 0.77003043]	[3.10376797 3.44481336]
[0.03570435 0.75668399]	[0.33923133 4.04341692]
[0.31127485 0.09909172]	[-0.25356737  2.20485926]
[0.27011238 0.94567064]	[2.27162051 3.90884992]
[0.66688073 0.9530725 ]	[1.6150637  8.30758267]
[0.86722722 0.16782348]	[2.48180086 3.1479505 ]
[0.30775495 0.06580256]	[0.45095091 2.3533472 ]
[0.05621228 0.99564955]	[1.23205305 4.49636926]
[0.15914605 0.96276836]	[2.84385072 4.04877556]
[0.09667528 0.38048031]	[0.16077419 4.15536579]
[0.00149477 0.27196724]	[0.7359871  0.04776662]
[0.94544625 0.62248489]	[2.80717629 5.50941878]
[0.65867759 0.23035406]	[0.1961893  3.38129085]
[0.02136897 0.66006617]	[0.7968662  4.16832083]
[0.13391231 0.27241812]	[2.34674933 1.14991046]
[0.17954148 0.04467535]	[-0.1329212   0.49801369]
[0.89473755 0.93587402]	[4.09364589 5.59254608]
[0.84569596 0.77701389]	[1.17756586 6.14571307]
[0.32742582 0.65032484]	[1.53011979 4.17380536]
[0.89293633 0.5144997 ]	[1.32255226 6.23251843]
[0.16115133 0.73031435]	[1.45072356 2.90228416]
[0.396094   0.49639314]	[2.396159   2.84347193]
[0.85107852 0.5743265 ]	[2.93055604 5.18127481]
[0.66481393 0.83344942]	[1.10768926 5.39957946]
[0.49560437 0.07597644]	[0.59747546 1.50611249]
[0.38592325 0.69332465]	[2.45837139 3.35052829]
[0.31081303 0.88164815]	[0.75109905 4.07652589]
[0.72338763 0.66946835]	[1.30119063 6.14271657]
[0.60868628 0.12297447]	[0.70432365 1.69671315]
[0.47991024 0.7265047 ]	[3.61978067 3.21797456]
[0.49219317 0.45543458]	[1.84815413 3.49855816]
[0.52968821 0.60369989]	[1.12031027 4.01469898]
[0.47385077 0.68817233]	[1.58897837 5.52009507]
[0.19859737 0.30753164]	[0.56978767 2.15404311]
[0.95550944 0.11114852]	[0.93862103 3.58696126]
[0.99609813 0.38377839]	[0.83315297 3.89335421]
[0.03786654 0.83513346]	[1.10830314 3.75591503]
[0.20052834 0.66278768]	[-0.91700763  3.56498611]
[0.19282042 0.32746643]	[0.30160524 1.55068441]
[0.48356552 0.00194338]	[0.70629753 2.38051087]
[0.78161581 0.18821109]	[-0.13284989  2.44413348]
[0.41533492 0.17463154]	[ 0.84486113 -0.44208132]
[0.16813608 0.45392021]	[1.50016738 3.03432289]
[0.15343666 0.57148895]	[3.1794696  2.09074746]
[0.36313345 0.34458443]	[1.08464575 2.74495339]
[0.7754236  0.61720101]	[2.85511819 4.42456769]
[0.6832302  0.52259191]	[1.36879324 2.90819248]
[0.38654617 0.76538594]	[1.91357534 2.82238303]
[0.45514111 0.01445923]	[-0.76696317  1.01386737]
[0.78665819 0.8476982 ]	[1.4189137  7.47660994]
[0.1584202 0.7530979]	[2.92537043 3.71120366]
[0.75698072 0.63459256]	[2.55955326 5.65820866]
[0.60425637 0.49887341]	[2.0213397  3.02666783]
[0.75765653 0.25502237]	[1.01856572 3.9001625 ]
[0.38275693 0.81855964]	[3.90345557 2.01437311]
[0.47067507 0.5049397 ]	[1.59396869 2.2535789 ]
[0.86866219 0.26039887]	[1.50225546 3.58255369]
[0.07403383 0.64804922]	[1.45872787 3.7849395 ]
[0.21815441 0.8874232 ]	[3.34725377 5.26325924]
[0.18327848 0.28951428]	[0.79853452 1.68491781]
[0.00443444 0.22784992]	[0.84632505 1.64900347]
[0.71909317 0.86512546]	[2.20520209 4.14321926]
[0.06057783 0.44868356]	[-0.71434961  2.57327969]
[0.62624858 0.23864946]	[1.27995265 4.02183596]
[0.60661855 0.78317832]	[2.37105072 5.74651837]
[0.95456997 0.69480848]	[1.79006631 4.44219703]
[0.18107236 0.78325332]	[1.59602098 1.95863597]
[0.33255322 0.45604899]	[1.33348277 4.95824971]
[0.47227881 0.46556474]	[1.51862429 3.44313861]
[0.64710418 0.79781925]	[2.86397545 3.27093312]
[0.85005137 0.3145292 ]	[2.67658561 3.49081671]
[0.12495749 0.57017315]	[1.25891151 1.91431991]
[0.70617448 0.21699141]	[3.14247256 3.32153943]
[0.16013099 0.76558079]	[0.72721768 4.63906499]
[0.40676046 0.62808521]	[1.07371464 5.19662702]
[0.04252216 0.49548016]	[1.44207241 3.56616706]
[0.08843963 0.51999329]	[0.11137733 1.6349923 ]
[0.29723836 0.77743058]	[1.021498   7.18131001]
[0.52360452 0.70912709]	[1.30760528 1.97384503]
[0.52792129 0.26228869]	[-0.4941842   3.59076592]
[0.67882101 0.77096338]	[2.75919038 5.43619966]
[0.23165024 0.60504217]	[1.06441922 3.63747054]
[0.34610245 0.41185818]	[1.24863648 1.59044874]
[0.48793611 0.61591643]	[3.83506286 5.62665634]
[0.32986867 0.43531254]	[2.6812175  2.58868953]
[0.72137798 0.19789839]	[1.2415752  2.59364479]
[0.32844148 0.69788598]	[-0.25922118  4.72610918]
[0.20821696 0.95136817]	[0.20374612 3.83853812]
[0.50725341 0.2003214 ]	[-1.1002175   2.90799819]
[0.09911609 0.42563594]	[-0.05972446  1.66843281]
[0.92477425 0.93801005]	[3.75493131 6.15249067]
[0.40495062 0.82147365]	[2.66545353 3.62837717]
[0.49805121 0.19084274]	[2.332918   1.73606764]
[0.51259208 0.23983136]	[1.19415265 3.26714953]
[0.00495662 0.16997489]	[-0.96261878 -0.0395054 ]
[0.0486413  0.19524243]	[2.74351573 1.01724745]
[0.62919169 0.76661605]	[1.55797096 5.57201513]
[0.7129628  0.47636377]	[2.90410085 2.27819161]
[0.15298987 0.0720085 ]	[0.60642486 0.91342584]
[0.68277123 0.17463844]	[1.05247371 4.07902182]
[0.10839522 0.84291236]	[2.29780313 2.39900093]
[0.45446439 0.85989453]	[3.37433042 5.08873304]
[0.17214535 0.94242423]	[2.15082576 4.54609818]
[0.73339064 0.63834625]	[1.99391668 4.9139389 ]
[0.39780887 0.84209552]	[2.6335458  5.23179425]
[0.28839313 0.62105292]	[1.57186799 2.97601275]
[0.06717994 0.64145705]	[2.22839159 3.68189233]
[0.41587589 0.65827992]	[1.29932744 3.46029527]
[0.68122807 0.00327285]	[2.27031182 0.88296764]
[0.62933954 0.93761399]	[2.74784463 6.2805346 ]
[0.9315875  0.14404548]	[0.85923442 4.01405488]
[0.92262595 0.47472135]	[2.15953577 3.9545049 ]
[0.81182807 0.5962562 ]	[2.26277774 6.42789385]
[0.76592364 0.26791516]	[0.49501667 5.66036976]
[0.99619381 0.23439387]	[2.50700014 4.68787409]
[0.71369268 0.48479859]	[0.30091531 5.44292333]
[0.01974498 0.58749332]	[0.8950032  1.91056745]
[0.3486135  0.43189255]	[1.33905189 3.03440782]
[0.50735538 0.07938903]	[ 0.90277891 -0.59033529]
[0.1872764  0.88822715]	[2.76939672 4.25634357]
[0.62074525 0.71440573]	[2.15888445 5.11694109]
[0.07707229 0.63184943]	[1.49733405 2.31000596]
[0.87282159 0.32906335]	[2.5318505  4.07201509]
[0.07940149 0.86547252]	[3.32955884 3.19848013]
[0.49090379 0.80217607]	[2.86675344 4.3539014 ]
[0.16854568 0.68098833]	[1.80159834 4.23806636]
[0.29204018 0.19566069]	[0.04228987 3.13868966]
[0.93900129 0.51347531]	[0.80882779 6.24474343]
[0.40519691 0.118259  ]	[1.35962019 1.14961489]
[0.90525685 0.05645277]	[0.81025585 2.29731433]
[0.38889535 0.74157384]	[1.35616717 5.06684387]
[0.8844077  0.32048597]	[0.23666693 3.41479285]
[0.46655119 0.16082013]	[0.92881467 0.39219388]
[0.54846826 0.62617565]	[1.97540455 4.06559213]
[0.4701244  0.95256497]	[2.86649322 6.15777872]
[0.37515447 0.5754779 ]	[2.71715986 3.03362013]
[0.1685125  0.39658468]	[2.45331184 3.82378323]
[0.46089745 0.33130611]	[0.75188949 2.2565831 ]
[0.7986889 0.2875267]	[2.85767814 2.98473251]
[0.14460408 0.52169919]	[1.29596814 1.39071097]
[0.29607751 0.38146995]	[1.89039131 0.95723273]
[0.68359809 0.20760042]	[1.02796309 2.53603712]
[0.77257549 0.27342192]	[0.62013294 4.09291965]
[0.71109111 0.25608491]	[2.65021567 4.3003524 ]
[0.184726   0.78906253]	[1.670543   2.95264851]
[0.21649814 0.91154939]	[0.20082616 4.07547734]
[0.24598446 0.99391736]	[3.56559607 3.51339128]
[0.49483997 0.50517895]	[2.61135956 4.52008658]
[0.73767795 0.92686914]	[3.80082569 5.67907245]
[0.53508978 0.85585019]	[2.48389441 3.62839337]
[0.9706092  0.33188238]	[1.75807062 4.37620691]
[0.4556977  0.63508721]	[2.09230732 4.01972156]
[0.69580046 0.78720521]	[0.93007091 4.4110383 ]
[0.42039274 0.0585663 ]	[2.35108433 1.08778158]
[0.66787442 0.47264913]	[3.4047252  2.76105148]
[0.16311031 0.65015249]	[1.95298858 2.55260597]
[0.41990509 0.85550683]	[2.7992437 5.1723754]
[0.61619609 0.7610328 ]	[1.71840693 4.38487566]
[0.60561077 0.21804062]	[1.67864335 4.45469496]
[0.05665611 0.1654436 ]	[-0.43555756  0.27395154]
[0.08922809 0.58481888]	[2.19228745 2.51910618]
[0.34839209 0.02542136]	[-1.63365379 -0.13874505]
[0.15186999 0.21013369]	[0.23124757 1.13730383]
[0.2884197  0.59759125]	[2.0886291  3.64887634]
[0.64506095 0.20820364]	[0.47406534 3.39969829]
[0.78947159 0.85993332]	[2.93721997 5.42147127]
[0.52787503 0.75731891]	[1.08557933 3.04517006]
[0.77016119 0.79545599]	[0.94635606 7.36669362]
[0.1121526  0.15534535]	[0.9596159  2.15131764]
[0.86891838 0.14879406]	[-0.10147534  4.05014022]
[0.93175829 0.47354093]	[1.71026772 4.15737025]
[0.78237734 0.08846893]	[0.9692342  1.49349622]
[0.64499657 0.69962153]	[0.40671882 6.22807332]
[0.35279193 0.02140258]	[0.32266342 1.94010889]
[0.25708664 0.80366624]	[3.41169124 4.39208602]
[0.36349595 0.33483827]	[2.13058054 1.23684033]
[0.17774671 0.5162057 ]	[0.11019924 2.39501554]
[0.66798722 0.6321909 ]	[2.11416547 4.0276479 ]
[0.54334201 0.75728837]	[1.25624112 4.83428823]
[0.34922417 0.98103993]	[3.48075132 4.80708884]
[0.44416723 0.48209831]	[2.5817869  4.86069913]
[0.66750425 0.48274689]	[0.69751026 4.33798358]
[0.97679107 0.36032821]	[1.73119315 5.08555479]
[0.5709338  0.59149651]	[3.18789452 4.2342716 ]
[0.99123039 0.38874   ]	[1.40999951 3.27823241]
[0.08368172 0.14430202]	[-0.85019623  1.3122997 ]
[0.43263909 0.51954778]	[1.81429276 1.20818398]
[0.70189468 0.55848891]	[0.46565648 4.38835603]
[0.48780873 0.90463814]	[2.3841875  5.57733935]
[0.61138776 0.82610482]	[1.56455247 5.67380248]
[0.28996561 0.85795463]	[0.77467479 4.8430437 ]
[0.69598957 0.25982311]	[1.85212899 3.24975402]
[0.18668259 0.13625724]	[1.7349426  1.58918829]
[0.13805509 0.11189074]	[ 0.68186352 -0.01456842]
[0.34127475 0.10231881]	[1.15098894 0.36237036]
[0.72403325 0.85031963]	[3.70819265 5.74440926]
[0.86592855 0.73426745]	[2.97847919 4.96751892]
[0.65890905 0.1485491 ]	[0.55827473 1.7490697 ]
[0.95550453 0.02517859]	[2.17761708 3.93633673]
[0.61398721 0.36724036]	[1.3204513  3.66295382]
[0.5802731  0.01375019]	[1.82387311 0.69429467]
[0.59178467 0.49937947]	[-0.58762712  2.7759125 ]
[0.47847466 0.50024002]	[1.61317643 4.08452414]
[0.79862277 0.45335148]	[0.41175742 4.24007099]
[0.96510382 0.33903916]	[1.28725636 3.9062965 ]
[0.21576113 0.88130812]	[1.36861117 4.20092425]
[0.83803858 0.61198901]	[1.73887137 4.53782591]
[0.60970126 0.10795841]	[1.06751501 1.50955844]
[0.10339615 0.91189635]	[1.90169227 6.61108025]
[0.87781687 0.45262345]	[1.74717352 4.06720117]
[0.91300296 0.88951826]	[1.3501489  8.09021532]
[0.6072326  0.73541664]	[2.04345342 2.52160191]
[0.47959031 0.08588205]	[2.48519438 1.53853207]
[0.66346013 0.49456118]	[3.2908798  3.74117237]
[0.60340123 0.07451809]	[0.08069821 2.40275631]
[0.75975837 0.9322434 ]	[4.47713665 7.1347465 ]
[0.58777955 0.66287726]	[-0.31396531  5.62958526]
[0.48412314 0.456194  ]	[2.3907731  3.94461654]
[0.55877033 0.87434275]	[0.92462791 4.58934878]
[0.51117137 0.85613969]	[2.15224777 6.03205866]
[0.76466598 0.10974904]	[1.49969429 1.13995065]
[0.41164607 0.43349011]	[2.54093813 1.84533468]
[0.3963576  0.69125276]	[3.54546518 4.52261814]
[0.54130575 0.49408029]	[1.61756411 3.60326378]
[0.54278605 0.70699345]	[2.22403227 6.22608441]
[0.94057051 0.64690209]	[3.052962  4.0075934]
[0.21365935 0.21922501]	[-0.04918717  1.72710989]
[0.33656817 0.07438991]	[1.46601211 0.30870566]
[0.5027753  0.93414269]	[4.59831899 5.36125371]
[0.30537598 0.1916817 ]	[0.16493682 1.75053196]
[0.64227008 0.92112474]	[2.31634513 6.90951917]
[0.34977868 0.22963697]	[1.98945737 3.46232002]
[0.12274159 0.82452828]	[1.7710683 4.1128669]
[0.93011825 0.32245937]	[0.23873431 4.29420581]
[0.15705096 0.33093527]	[-0.08217381  2.95245136]
[0.87264626 0.38677396]	[1.10127506 4.5861082 ]
[0.81217718 0.29413135]	[1.76615284 3.95750102]
[0.61299108 0.87778455]	[0.73197346 7.12846459]
[0.12597109 0.22502191]	[0.83993156 0.69245603]
[0.09809886 0.34235747]	[-0.71417935  2.51512293]
[0.4170189  0.22663874]	[1.01091922 3.75489437]
[0.21715164 0.2641009 ]	[-0.1393598   1.23796103]
[0.1397414 0.358014 ]	[1.2192212  2.99686772]
[0.02270587 0.33158831]	[1.5275588  0.18826531]
[0.82215858 0.64365173]	[2.72429398 5.48436735]
[0.67670591 0.220399  ]	[0.63609636 3.27497659]
[0.39616724 0.47224615]	[2.41496987 1.66788671]
[0.01352067 0.86941022]	[2.85671613 3.31531087]
[0.33874621 0.32634357]	[1.15527385 0.94152176]
[0.21176845 0.82244289]	[1.34005369 2.03043519]
[0.644634   0.36238218]	[1.62880793 4.07809308]
[0.46478698 0.39158419]	[1.53098165 2.65922062]
[0.08423736 0.48468076]	[1.14988112 6.09024156]
[0.46332758 0.95105534]	[2.73505258 4.9264584 ]
[0.09756488 0.96571159]	[2.19980736 4.04804368]
[0.97264003 0.96957116]	[5.13057861 6.76951094]
[0.23460645 0.68977785]	[3.99489682 2.79188178]
[0.2288311  0.97585262]	[1.73040051 2.65382656]
[0.82690462 0.83309524]	[3.41179033 4.70777524]
[0.9365706  0.04631723]	[0.03892976 3.12887104]
[0.42904982 0.40306058]	[0.89445048 2.4415088 ]
[0.90387617 0.91309231]	[3.20261213 6.57541524]
[0.67528177 0.52029615]	[0.97603207 4.09677357]
[0.59844311 0.22820776]	[0.43299011 2.70288331]
[0.18379161 0.97134266]	[1.43382682 2.90311667]
[0.81292482 0.65421781]	[2.05749613 5.69715111]
[0.57395983 0.42386878]	[3.03795413 2.49387446]
[0.12812813 0.33620823]	[0.6286496  1.46607233]
[0.10070624 0.91268497]	[2.85592171 4.76762024]
[0.04346613 0.25167536]	[1.01051498 1.66348106]
[0.19819829 0.73501557]	[1.39321395 2.48033034]
[0.11419901 0.35637703]	[-0.94878948  1.63584108]
[0.69118815 0.66621361]	[3.77367374 2.94156381]
[0.11873322 0.54479235]	[0.55643922 2.56210992]
[0.19790305 0.56515477]	[0.73701152 2.50289138]
[0.73156814 0.32920978]	[1.46282048 3.21722693]
[0.11165031 0.91011503]	[2.12109599 4.83275808]
[0.36203198 0.90215544]	[0.43100551 3.24829903]
[0.74310379 0.97806353]	[4.13010175 7.86465477]
[0.98495672 0.99743825]	[1.87595525 6.39760286]
[0.22507631 0.64675305]	[2.82041659 4.66055398]
[0.05353452 0.43823088]	[1.15482834 2.8398331 ]
[0.80688997 0.93014523]	[2.16684181 7.13874744]
[0.12476189 0.37047359]	[0.79745001 0.08348716]
[0.40766515 0.94057115]	[1.86567123 5.30922806]
[0.81206319 0.57956719]	[2.72693697 4.32033371]
[0.54732908 0.31422118]	[0.53010221 1.96992831]
[0.04744969 0.84117105]	[0.92207887 2.96768062]
[0.38983345 0.86504808]	[2.28571718 6.29931797]
[0.32786376 0.3203988 ]	[2.46299525 2.37396632]
[0.6370013 0.2488761]	[0.22147368 3.4253759 ]
[0.33783135 0.94421126]	[1.7375201  4.93645049]
[0.72335468 0.58401907]	[-0.02340115  3.68619036]
[0.6641125  0.01085582]	[1.10128209 1.83140817]
[0.40317158 0.76134511]	[1.33720695 4.42898896]
[0.76139779 0.36910707]	[1.85226152 3.69285723]
[0.46940465 0.38754594]	[1.10915105 2.62741719]
[0.45273951 0.92459144]	[2.78615284 5.2972666 ]
[0.23395865 0.17634494]	[0.24622081 2.06580808]
[0.57446772 0.48069806]	[1.79028621 3.12678525]
[0.93592836 0.91567178]	[3.14994832 6.61397069]
[0.35273999 0.30604199]	[0.06904014 2.82150163]
[0.54685505 0.77173487]	[3.57390286 4.86588606]
[0.95141872 0.15518075]	[0.84136119 3.0899641 ]
[0.72680476 0.8903942 ]	[4.39930191 4.61753325]
[0.10155804 0.10557022]	[-0.49061717  0.35291788]
[0.07781857 0.32648327]	[-0.19059038  0.5435825 ]
[0.8591342 0.3202128]	[3.0537921  5.39399118]
[0.37360073 0.21162523]	[0.77030023 2.91516113]
[0.28367729 0.04606252]	[-0.16385031  1.44510082]
[0.95483297 0.29419261]	[2.49963861 1.65108274]
[0.52060051 0.91785382]	[2.00158966 5.82165821]
[0.80596685 0.35559   ]	[0.88301024 6.14647941]
[0.16575435 0.42357513]	[0.32998381 1.92663662]
[0.04118716 0.67364055]	[2.85426523 3.60978456]
[0.13082487 0.77631362]	[2.43763072 1.83944147]
[0.80801692 0.37138003]	[1.3283759  2.00675199]
[0.82721077 0.83996221]	[3.00595534 6.06701972]
[0.17319611 0.38585624]	[-0.63542835  2.80409374]
[0.29054608 0.53010783]	[1.32014281 3.70416683]
[0.68010868 0.73842762]	[3.41799622 4.98794336]
[0.49769792 0.21979258]	[0.64176634 2.22646125]
[0.07804619 0.86335685]	[1.93459916 4.14122227]
[0.54367475 0.34692553]	[2.18979846 3.33245136]
[0.54177077 0.43806085]	[0.57367199 2.07510009]
[0.62813877 0.25570558]	[1.66560163 2.25219226]
[0.92493206 0.13439309]	[1.49338759 3.99735059]
[0.35360991 0.05677532]	[0.81284796 3.79395017]
[0.76896583 0.42887049]	[1.48666782 4.36700961]
[0.38801897 0.92905546]	[2.58187802 4.74591743]
[0.62147214 0.81511337]	[3.10494215 4.49408064]
[0.54717369 0.49187902]	[1.56682808 3.22875334]
[0.45077144 0.19471407]	[0.65812717 3.10868867]
[0.56215791 0.71292639]	[1.32360684 2.84839819]
[0.95927156 0.03492974]	[0.48481878 2.48300934]
[0.1059096  0.35697036]	[1.73126727 2.82182615]
[0.75026301 0.44353786]	[1.7131701  3.53428536]
[0.08849987 0.00448033]	[2.21225663 0.73003974]
[0.70969513 0.16575892]	[1.44391049 2.34525056]
[0.78542564 0.82223568]	[1.06253256 6.26408621]
[0.79793417 0.43851795]	[2.55195708 3.93053761]
[0.38712862 0.0705667 ]	[-0.74714351  2.02482036]
[0.4593152  0.73148123]	[2.95241446 5.093241  ]
[0.64586887 0.84536558]	[3.47572836 4.91007297]
[0.94005851 0.18630868]	[1.54001841 2.81544913]
[0.67515058 0.54208783]	[1.16982688 2.81574853]
[0.41287399 0.02297477]	[0.02382485 1.28274541]
[0.2263714  0.64857389]	[1.54023762 2.78613646]
[0.20223258 0.76878277]	[2.05813137 3.35467359]
[0.71391112 0.26463174]	[2.23086248 3.7493012 ]
[0.9081989  0.50331898]	[2.28222032 5.17927604]
[0.69111875 0.53647525]	[2.67386158 4.83523963]
[0.93665004 0.62655785]	[2.61734993 6.81211169]
[0.32087977 0.89352911]	[3.91459069 3.53341103]
[0.29718009 0.48088765]	[2.02236323 3.57765547]
[0.94415331 0.11739858]	[0.94793734 4.32409017]
[0.35159099 0.10858903]	[0.95231851 1.48355822]
[0.38388998 0.74444005]	[1.29687927 5.27591907]
[0.16402319 0.72936708]	[1.35555893 2.73967428]
[0.22850296 0.55039383]	[0.13320535 1.31928829]
[0.73946488 0.40284273]	[3.16153024 3.54407061]
[0.37087553 0.9788576 ]	[2.49808109 5.34433001]
[0.72909693 0.79710215]	[1.57169057 5.3770623 ]
[0.91896821 0.68992268]	[2.94446543 5.23774584]
[0.00067402 0.25661615]	[2.26569393 0.44160213]
[0.16026078 0.27097007]	[1.95416277 1.93528092]
[0.78888659 0.85684144]	[2.71660894 7.18331382]
[0.49858739 0.27364624]	[0.46798188 4.01586087]
[0.22555618 0.64212502]	[2.05119959 4.61775347]
[0.97443677 0.27020371]	[2.41934988 4.13952675]
[0.67399464 0.18178681]	[0.80705497 3.56907851]
[0.28103213 0.21496317]	[0.54867952 1.95370176]
[0.16431431 0.02377433]	[-0.19494624 -0.7870813 ]
[0.00465513 0.67986346]	[1.49933439 2.52215646]
[0.52503399 0.03311261]	[2.20101465 2.06784261]
[0.22942791 0.54124204]	[2.58111537 3.02025067]
[0.53534756 0.84203357]	[2.86044184 3.4621083 ]
[0.16838735 0.31451592]	[2.01636298 1.63970189]
[0.41160432 0.87852928]	[2.30683006 4.20476035]
[0.82618932 0.11664479]	[2.3945436  1.18633723]
[0.21469443 0.2335019 ]	[1.17634337 1.53528577]
[0.38081898 0.14902775]	[1.18045745 0.61130918]
[0.01235417 0.06214229]	[-0.80436018  1.96259051]
[0.96110086 0.93501803]	[3.51762306 7.26630322]
[0.14561368 0.3880952 ]	[0.10062958 1.44709139]
[0.34281372 0.06825831]	[0.24546148 1.70453775]
[0.50577741 0.99659263]	[1.49841188 4.44200283]
[0.63263006 0.72222612]	[0.11843306 3.71455273]
[0.21232647 0.44265114]	[0.32132486 2.27765534]
[0.57351733 0.42976356]	[2.18194681 3.33817628]
[0.40659158 0.6118746 ]	[1.54297211 5.54329023]
[0.55387331 0.59709401]	[1.55766136 6.06708556]
[0.74175265 0.60702663]	[1.96349157 2.70138723]
[0.33579489 0.96712995]	[2.09747862 3.13132703]
[0.28431414 0.30309545]	[0.44122342 1.27289756]
[0.65883876 0.39756045]	[3.03033512 3.68358497]
[0.71056318 0.58844539]	[2.41252133 5.70733132]
[0.63429411 0.80818301]	[1.37740942 6.21136915]
[0.92646993 0.11090316]	[-0.18731998  4.4530038 ]
[0.35807056 0.18671238]	[0.33231745 1.20429741]
[0.90390624 0.45353373]	[2.39562914 3.64262992]
[0.41898628 0.25812158]	[1.80261464 2.81116699]
[0.04588621 0.27083227]	[0.18037231 2.10716334]
[0.34996452 0.65094848]	[2.64185794 4.38433918]
[0.8440237  0.93915415]	[3.13781466 6.22963395]
[0.60537875 0.65429464]	[1.40992599 3.42777558]
[0.85960017 0.79907113]	[1.49917275 4.14243197]
[0.2135638  0.60755498]	[1.31129187 4.22469833]
[0.15174544 0.97607619]	[2.48987663 5.21095281]
[0.21861122 0.74331533]	[1.87585606 3.19692728]
[0.06794378 0.32458803]	[0.60298891 0.79255036]
[0.75681613 0.34360208]	[2.58414415 3.71914464]
[0.75256176 0.62350465]	[1.63538458 4.24118768]
[0.9936499  0.89748789]	[3.47006441 7.28878196]
[0.54625994 0.71180772]	[0.83997714 4.95061353]
[0.55596195 0.67196519]	[-0.53588571  5.16264529]
[0.88384491 0.17279138]	[-0.50341725  1.97117164]
[0.40883246 0.45185519]	[2.70322338 3.37973704]
[0.26758751 0.91776209]	[0.47615056 3.95288223]
[0.14699136 0.89333501]	[2.13175182 3.25466824]
[0.92333482 0.38483094]	[0.93667061 5.56957072]
[0.79819158 0.40683192]	[1.12269685 3.37941728]
[0.9154976  0.87465521]	[0.93547791 6.58195741]
[0.85719786 0.18155875]	[1.6438475  2.30433752]
[0.54643556 0.57537943]	[0.61998587 1.96653344]
[0.4532903 0.7933566]	[0.99122594 4.24758387]
[0.90615159 0.61052962]	[1.0971957  6.20452301]
[0.77723001 0.03109123]	[2.2381299  1.40885361]
[0.96679468 0.87509059]	[3.1998704  4.65530581]
[0.47324242 0.65734776]	[2.25035976 2.48918082]
[0.03187955 0.35437475]	[ 2.60020668 -0.55796465]
[0.35132011 0.83746417]	[0.9000599  3.72687106]
[0.94149796 0.20613576]	[1.04984457 4.41299211]
[0.7944597  0.08054344]	[0.16527648 3.40692452]
[0.60664254 0.99301079]	[2.18958879 7.72079243]
[0.50373087 0.88901509]	[3.70472269 3.76772657]
[0.12585078 0.28068644]	[1.98762777 0.26053673]
[0.32684919 0.32514745]	[0.78622318 3.57014945]
[0.45896193 0.8932861 ]	[1.79341912 5.87343601]
[0.82953113 0.81507626]	[1.89918575 6.12271037]
[0.12368703 0.59848759]	[0.49316345 1.70305766]
[0.95542862 0.61035523]	[1.85431869 7.5445557 ]
